fsn,warehouse,quantity,invoice_ref,po_ref,unit_price_without_tax,unit_tax_amount,tax_rate,price_type,component_id,currency,grn_ref,valuation_ref_id,consignment_ref,dn_ref,irn_ref,mm_valuation_parent_ref_id,mm_valuation_transaction_date,order_ref,rasl_event_id,rasl_event_type,ro_ref,seller_id,shipment_ref,sku,source_event_date,srn_ref,stock_type,variance_ref,vs_ref,entity_id,tax_type,actual_unit_price_without_tax,actual_unit_tax_amount,current_actual_unit_price_without_tax,igst_tax_rate,igst_unit_tax_amount,igst_actual_unit_tax_amount,sgst_tax_rate,sgst_unit_tax_amount,sgst_actual_unit_tax_amount,cgst_tax_rate,cgst_unit_tax_amount,cgst_actual_unit_tax_amount,cess_tax_rate,cess_unit_tax_amount,cess_actual_unit_tax_amount,mrp,hsn,return_type,return_ref,mm_evnt_event,mm_evnt_quantity,material_group_id<Plug>PeepOpenackage_id<Plug>PeepOpenrice_ratio_for_package
TROEYEAPZZJAYQBA,blr_wfld,1,NULL,FINVBW537964,2494.02,49.88,2.0,invoice,FKIIN584587,INR,10234829,795303,NULL,NULL,FIBW320465,795303,2014-10-03,NULL,1,SeedEvent,NULL,fki,NULL,SKU0000000000000,2014-11-26,NULL,inventory,NULL,VS17842,795303,CST - Purchase Category (Cost),2494.02,49.88,2494.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none,NULL,NULL,NULL,795303,NULL,NULL
HMBDS8SSWSZD3U6P,blr_wfld,1,NULL,FINVBW464080,2052.04,41.041,2.0,invoice,FKIIN287737,INR,6469922,983332,NULL,NULL,FIBW238164,983332,2014-06-07,NULL,1,SeedEvent,NULL,fki,NULL,SKU0000000000000,2014-11-26,NULL,inventory,NULL,VS18493,983332,CST - Purchase Category (Cost),2052.04,41.041,2052.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,none,NULL,NULL,NULL,983332,NULL,NULL
